"","Date","Q","Rain","T","ETP_dint","peff"
"2421",2016-03-22,0.023,0,7.45416666666667,1.09057554035577,0
"2422",2016-03-23,0.0224166666666667,5.5,7.45416666666667,1.09230754311641,4.40769245688359
"2423",2016-03-24,0.0390416666666667,0.5,7.92083333333333,1.09366391229171,0
"2424",2016-03-25,0.0362083333333333,12.6,8.65416666666667,1.09475810264712,11.5052418973529
"2425",2016-03-26,0.199708333333333,10,6.49166666666667,1.09570356894811,8.90429643105189
"2426",2016-03-27,0.359586956521739,4.9,5.27826086956522,1.09661376596013,3.80338623403987
"2427",2016-03-28,0.26559375,0.5,6.525,1.09760214844865,0
"2428",2016-03-29,0.0764791666666667,4.2,4.53333333333333,1.09878217117913,3.10121782882087
"2429",2016-03-30,0.108666666666667,3.8,6.03333333333333,1.10026728891703,2.69973271108297
"2430",2016-03-31,0.0833541666666667,3.5,7.12083333333333,1.1021709564278,2.3978290435722
"2431",2016-04-01,0.213291666666667,7.5,7.71666666666667,1.10460662847691,6.39539337152309
"2432",2016-04-02,0.152072916666667,8.4,7.17083333333333,1.10768775982982,7.29231224017018
"2433",2016-04-03,0.377854166666667,2.3,7.87916666666667,1.11152780525198,1.18847219474802
"2434",2016-04-04,0.127510416666667,0.5,8.52916666666667,1.11624021950887,0
"2435",2016-04-05,0.0671041666666667,8.6,8.5625,1.12193845736593,7.47806154263407
"2436",2016-04-06,0.292666666666667,10.4,6.54166666666667,1.12873597358863,9.27126402641137
"2437",2016-04-07,0.282010416666667,2.4,8.2125,1.13674622294244,1.26325377705756
"2438",2016-04-08,0.222385416666667,7.1,6.03333333333333,1.1460826601928,5.9539173398072
"2439",2016-04-09,0.148354166666667,0.4,2.92916666666667,1.15685874010518,0
"2440",2016-04-10,0.07434375,0.1,4.81666666666667,1.16918791744505,0
"2441",2016-04-11,0.0490729166666667,3,7.65,1.18318364697785,1.81681635302215
"2442",2016-04-12,0.05084375,0.4,7.22083333333333,1.19895938346906,0
"2443",2016-04-13,0.0502604166666667,0.2,8.3375,1.21662858168412,0
"2444",2016-04-14,0.04134375,0,8.625,1.23630469638851,0
"2445",2016-04-15,0.0348333333333333,0.4,5.61666666666667,1.25810118234769,0
"2446",2016-04-16,0.0301458333333333,0.1,4.97916666666667,1.28209469242217,0
"2447",2016-04-17,0.0254791666666667,0.7,6.40833333333333,1.30821467185274,0
"2448",2016-04-18,0.023625,0.2,8.21666666666667,1.33635376397527,0
"2449",2016-04-19,0.0211770833333333,0,8.1875,1.36640461212561,0
"2450",2016-04-20,0.0203958333333333,0,9.87916666666667,1.39825985963962,0
"2451",2016-04-21,0.0196770833333333,0,9.00833333333333,1.43181214985314,0
"2452",2016-04-22,0.0184270833333333,0,8.05416666666667,1.46695412610204,0
"2453",2016-04-23,0.01715625,0.2,6.47916666666667,1.50357843172216,0
"2454",2016-04-24,0.0169895833333333,0.4,8.05833333333333,1.54157771004937,0
"2455",2016-04-25,0.0168645833333333,0,7.45,1.58084460441952,0
"2456",2016-04-26,0.0160520833333333,0.2,5.08333333333333,1.62127175816847,0
"2457",2016-04-27,0.01521875,8.1,4.70833333333333,1.66275181463206,6.43724818536793
"2458",2016-04-28,0.0229166666666667,7.9,4.38333333333333,1.70517741714617,6.19482258285383
"2459",2016-04-29,0.04765625,2.1,6.05833333333333,1.74844120904663,0.35155879095337
"2460",2016-04-30,0.0416145833333333,10.5,7.68333333333333,1.79243583366931,8.70756416633069
"2461",2016-05-01,0.150802083333333,13.7,11.2,1.83705393435006,11.8629460656499
"2462",2016-05-02,0.366625,3.8,8.86666666666667,1.88218815442474,1.91781184557526
"2463",2016-05-03,0.0876666666666667,0.4,8.825,1.9277311372292,0
"2464",2016-05-04,0.0500833333333333,1.1,10.3208333333333,1.9735755260993,0
"2465",2016-05-05,0.0400208333333333,0.5,10.1333333333333,2.01961396437089,0
