"","Date","Qinit","bf1"
"107",2009-08-14,0.17609375,0.0291839896000065
"108",2009-08-15,0.49375,0.0427578614064576
"109",2009-08-16,0.106479166666667,0.0427444586048616
"110",2009-08-17,0.50775,0.0556763571044695
"111",2009-08-18,0.204677083333333,0.0577888148648618
"112",2009-08-19,0.281416666666667,0.0622063835585557
"113",2009-08-20,0.541197916666667,0.0746477370350163
"114",2009-08-21,0.245479166666667,0.0765464410375687
"115",2009-08-22,0.0858645833333333,0.073143166222711
"116",2009-08-23,0.652572916666667,0.0882952630327075
"117",2009-08-24,0.2486875,0.0891968547236182
"118",2009-08-25,0.0881041666666667,0.0848456298803156
"119",2009-08-26,0.281614583333333,0.087087581771688
"120",2009-08-27,0.184770833333333,0.0860247391556917
"121",2009-08-28,0.304666666666667,0.0889152171807703
